nan,circuit_num_of_h,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,circuit_num_of_cswap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_num_of_swap,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_num_of_cx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_num_of_toffoli,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_num_of_p,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_num_of_t,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_decomposed_width,26,26,26,26,26,26,26,32,32,32,32,32,32,32,32,32,32,32,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
nan,circuit_decomposed_depth,144,144,144,144,144,144,144,210,210,210,210,210,210,210,210,210,210,210,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288,288
nan,circuit_decomposed_size,185,185,185,185,185,185,185,271,271,271,271,271,271,271,271,271,271,271,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
nan,circuit_decomposed_num_nonlocal_gates,160,160,160,160,160,160,160,240,240,240,240,240,240,240,240,240,240,240,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336
nan,circuit_decomposed_num_ancillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nan,circuit_decomposed_num_clbits,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,circuit_decomposed_num_qubits,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
nan,circuit_decomposed_num_of_count_ops,73,73,73,73,73,73,73,109,109,109,109,109,109,109,109,109,109,109,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
